,,,,,All Type of Report (All Grades) for 01-Jan-2023 to 01-Sep-2026,,,,
State/UT,District,Market,Commodity Group,Commodity,Month,Arrival Quantity 01-01-2023 to 01-09-2026,Arrival Unit,Modal Price 01-01-2023 to 01-09-2026,Price Unit
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Banana - Green,January-2023,268.40,Metric Tonnes,1867.59,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Beetroot,January-2023,1720.10,Metric Tonnes,1049.92,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Bhindi(Ladies Finger),January-2023,1326.40,Metric Tonnes,5318.30,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Bitter gourd,January-2023,609.80,Metric Tonnes,4049.55,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Bottle gourd,January-2023,2163.30,Metric Tonnes,1325.01,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Brinjal,January-2023,1181.40,Metric Tonnes,859.43,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Cabbage,January-2023,1809.20,Metric Tonnes,524.26,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Capsicum,January-2023,2656.00,Metric Tonnes,1606.62,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Carrot,January-2023,9214.20,Metric Tonnes,1118.03,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Cauliflower,January-2023,3574.70,Metric Tonnes,1175.52,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Coriander(Leaves),January-2023,1228.30,Bundle,1750.08,Rs./Bundle
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Cucumbar(Kheera),January-2023,5355.90,Metric Tonnes,1878.15,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Ginger(Green),January-2023,8674.60,Metric Tonnes,4446.41,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Green Chilli,January-2023,7049.00,Metric Tonnes,3092.13,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Guar,January-2023,6.10,Metric Tonnes,7508.20,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Lemon,January-2023,2906.00,Metric Tonnes,2082.20,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Mango(Raw-Ripe),January-2023,350.90,Metric Tonnes,3602.51,Rs./Quintal
